angry-mean,angry-median,angry-min,angry-max,angry-sd,angry-range,angry-skewness,angry-kurtosis,disgust-mean,disgust-median,disgust-min,disgust-max,disgust-sd,disgust-range,disgust-skewness,disgust-kurtosis,fear-mean,fear-median,fear-min,fear-max,fear-sd,fear-range,fear-skewness,fear-kurtosis,happy-mean,happy-median,happy-min,happy-max,happy-sd,happy-range,happy-skewness,happy-kurtosis,neutral-mean,neutral-median,neutral-min,neutral-max,neutral-sd,neutral-range,neutral-skewness,neutral-kurtosis,sad-mean,sad-median,sad-min,sad-max,sad-sd,sad-range,sad-skewness,sad-kurtosis,surprise-mean,surprise-median,surprise-min,surprise-max,surprise-sd,surprise-range,surprise-skewness,surprise-kurtosis,participantTemp-mean,participantTemp-median,participantTemp-min,participantTemp-max,participantTemp-sd,participantTemp-range,participantTemp-skewness,participantTemp-kurtosis,class
0.04202127659574459,0.04,0.02,0.07,0.010475887941245704,0.05,-2.5471563347602447E-05,4.914626343875566E-06,0,0,0,0,0,0,0,0,0.16003546099290775,0.15,0.06,0.32,0.05164319915645935,0.26,2.5473176985364683E-05,4.915041474023079E-06,0.005957446808510643,0.01,0,0.02,0.005119663581070615,0.02,-0.005587366249537056,0.006501684476760835,0.641418439716312,0.65,0.43,0.8,0.081528671024272,0.37000000000000005,0.0003758020662246643,0.0001778396469686708,0.12808510638297876,0.12,0.06,0.25,0.03521796152024086,0.19,-0.004484600561901335,0.004849698338929033,0.022836879432624035,0.02,0,0.17,0.019030630074755837,0.17,-1.1746649914554688E-05,1.7510628609737508E-06,35.223475177304984,35.47,33.11,35.69,0.5677702884509395,2.5799999999999983,0.001118832502708254,0.0007616751766187161,inattentive
0.038571428571428486,0.04,0.02,0.11,0.011065666703449772,0.09,0.0037471040688931184,0.0038699924414211185,0,0,0,0,0,0,0,0,0.16952380952380944,0.17,0.04,0.34,0.05339919402858528,0.30000000000000004,-0.00016624257190824143,6.078159732049966E-05,0.02891156462585034,0,0,0.6,0.10282823172849512,0.6,0.010789696736443205,0.015853607230892623,0.6257823129251696,0.63,0.29,0.83,0.09150238962024437,0.54,-0.0007706282305451298,0.00046979565543201407,0.1221768707482994,0.13,0.01,0.19,0.03604639879930115,0.18,-0.04030099963085595,0.09187630798104356,0.012380952380952309,0.01,0,0.07,0.007361726111304904,0.07,-0.00011507098514094523,3.7216616308114336E-05,35.21054421768705,35.55,33.05,35.69,0.7064520746371126,2.6400000000000006,0.0005270940096624238,0.00028311739319566103,inattentive
0.03216494845360816,0.03,0,0.07,0.012591395424775085,0.07,-0.0030989619328664073,0.0029940058985707813,0,0,0,0,0,0,0,0,0.1384192439862543,0.13,0,0.34,0.08228842185834548,0.34,-0.00426315577907841,0.004580778224555477,0.15230240549828156,0.02,0,0.97,0.2908983442634971,0.97,0.00017438184667132494,6.456037231431515E-05,0.5807560137457046,0.64,0.01,0.86,0.20982265197471933,0.85,2.2483775503865126E-05,4.205232221183903E-06,0.08340206185567002,0.09,0,0.2,0.053577575153441116,0.2,-0.0008326791234793431,0.0005191201637761271,0.012061855670103042,0.01,0,0.06,0.010381533730841414,0.06,-0.00538970301636649,0.006262063156911076,35.295360824742254,35.57,33.21,35.75,0.5967369377693064,2.539999999999999,0.0007213040521077042,0.0004286690800569093,inattentive
0.03469178082191772,0.03,0,0.08,0.014343183703295506,0.08,-0.003680474291263698,0.003769924636433778,0,0,0,0,0,0,0,0,0.13832191780821912,0.11499999999999999,0.01,0.52,0.08346678733545956,0.51,0.0004263823666679776,0.0002129086297726039,0.044212328767123124,0.02,0,0.76,0.10318421542927463,0.76,-0.0001248318077897223,4.138992413644526E-05,0.6551369863013693,0.67,0.21,0.86,0.11458822228662081,0.65,7.473393279461971E-06,9.693591930421933E-07,0.11804794520547947,0.12,0,0.24,0.042867561608325375,0.24,-2.2661353158634185E-05,4.254436726983957E-06,0.00924657534246575,0.01,0,0.06,0.012168093041710395,0.06,8.129598008443162E-07,5.033688988411491E-08,35.27609589041097,35.57,33.09,35.73,0.6801328166904427,2.6399999999999935,7.935914836311835E-05,2.262508825257546E-05,inattentive
0.04318644067796598,0.04,0.01,0.11,0.01652986467924882,0.1,-0.009355615106497203,0.013123121022581632,0,0,0,0,0,0,0,0,0.18905084745762704,0.17,0.06,0.42,0.08798178234558306,0.36,4.576137804419276E-05,1.0896143083706442E-05,0.007525423728813553,0.01,0,0.06,0.007477323758081214,0.06,-0.0034556703217637538,0.00347789988500258,0.5701016949152542,0.59,0.21,0.78,0.13003124721144738,0.5700000000000001,-9.94312697606683E-05,3.0664648155644455E-05,0.1624406779661016,0.15,0.08,0.49,0.05132292948639806,0.41,-0.0036161677111082465,0.003694923269333259,0.027932203389830466,0.01,0,0.27,0.03412035746369254,0.27,0.09074098418261946,0.27144300371453084,35.09772881355936,35.41,33.01,35.61,0.6091460494074983,2.6000000000000014,-1.0126059063302635E-05,1.4583483690317064E-06,inattentive
0.05543859649122805,0.03,0.01,0.42,0.06038677023225196,0.41,-2.5632457626548438E-06,2.3085287319248506E-07,0,0,0,0,0,0,0,0,0.17954385964912278,0.15,0.05,0.59,0.10428437338581238,0.5399999999999999,2.9362491839021483E-10,1.2843168055994296E-12,0.010491228070175435,0.01,0,0.14,0.015024100880377951,0.14,-0.0011947269265059858,0.0008342697354970576,0.5445263157894733,0.6,0.04,0.86,0.1960760777220098,0.82,7.694078089340867E-06,9.995942279959255E-07,0.18691228070175436,0.18,0.05,0.44,0.0707276170537128,0.39,-0.0018281256037696039,0.0014710349627753815,0.022456140350877153,0.02,0,0.19,0.021673874786502824,0.19,0.037036399960604094,0.08124312883510303,34.94908771929822,35.21,33.25,35.57,0.6327643690121063,2.3200000000000003,0.0007654274197465195,0.0004607729487400169,inattentive
0.08123287671232861,0.07,0.01,0.42,0.06047064736791222,0.41,-2.9022996042180365E-08,5.917213970723343E-10,0,0,0,0,0,0,0,0,0.23212328767123294,0.21,0.05,0.59,0.10650235642199553,0.5399999999999999,6.141354375039566E-05,1.607483392608162E-05,0.011849315068493097,0.01,0,0.14,0.01485101466288313,0.14,0.0005661494434655197,0.00031071989642353397,0.47054794520547966,0.52,0.04,0.86,0.19284027325465117,0.82,4.032762312117148E-07,1.9766561052873014E-08,0.17294520547945197,0.15,0.05,0.44,0.07583930206223263,0.39,-0.004480309620756344,0.004900100501983184,0.030993150684931442,0.02,0,0.22,0.027845709090104327,0.22,0.00941379900619173,0.013187045735795527,34.97095890410959,35.25,33.25,35.71,0.656872340933709,2.460000000000001,0.0002625298734590546,0.00011152337985468491,inattentive
0.050874125874125715,0.05,0.01,0.14,0.022083872903494995,0.13,-0.00041743736221316066,0.00020554666480400427,0,0,0,0,0,0,0,0,0.2048951048951049,0.2,0.07,0.46,0.07562205558382595,0.39,-0.004946938140548977,0.0055535495446294636,0.010839160839160816,0.01,0,0.17,0.017076401886630316,0.17,-4.149354028428632E-07,2.0390568408896706E-08,0.5168531468531469,0.52,0.19,0.8,0.11456466449231711,0.6100000000000001,0.008352300984291168,0.011165123364589758,0.1765734265734266,0.19,0.02,0.37,0.05856208104064473,0.35,-0.0003266834553990035,0.00014823753972768877,0.039790209790209696,0.02,0,0.24,0.0440909506829216,0.24,-0.001078465514368212,0.0007286691129792295,35.20622377622377,35.41,33.07,35.67,0.5132261925792339,2.6000000000000014,0.0003746981640438869,0.00017797708847917636,inattentive
0.07825783972125426,0.08,0.02,0.2,0.0313754892162049,0.18000000000000002,-0.0006865857025354741,0.00039953390448882735,0,0,0,0,0,0,0,0,0.24177700348432055,0.23,0.07,0.46,0.07656824352924194,0.39,-8.01616063768106E-05,2.2799002574870994E-05,0.006097560975609761,0.01,0,0.02,0.005670778539389253,0.02,0.05134084812370493,0.12586684624385994,0.4648083623693381,0.47,0.21,0.76,0.10825451459440742,0.55,0.000760949304667159,0.00045824907636441786,0.18522648083623677,0.19,0.07,0.34,0.047449231212610334,0.27,-0.0005236011249100837,0.00027837360913586013,0.023449477351916298,0.02,0,0.12,0.019025475074684238,0.12,-0.001230914242402868,0.0008701571529941593,35.075923344947704,35.39,33.05,35.65,0.636004323374051,2.6000000000000014,0.0025624037386882616,0.002312902779333008,inattentive
0.07345890410958902,0.07,0.03,0.18,0.018891045466014427,0.15,-0.001238449395639357,0.0008823318799626597,0,0,0,0,0,0,0,0,0.19732876712328762,0.18,0.09,0.47,0.06605613113196873,0.38,-6.182736580966765E-05,1.621941832805179E-05,0.002089041095890412,0,0,0.02,0.004148644328625243,0.02,0.023745751760404377,0.04528025336556057,0.5199315068493146,0.535,0.25,0.67,0.07545293893295223,0.42000000000000004,0.0005128586656732862,0.0002723482242495566,0.1918835616438357,0.19,0.07,0.32,0.034376244241286914,0.25,-0.0008834783058537329,0.000562413154602892,0.013630136986301323,0.01,0,0.07,0.008904373020339178,0.07,0.0012537108707500245,0.0008968589351795091,35.22527397260279,35.47,33.11,35.67,0.525897400282549,2.5600000000000023,0.000543495037381335,0.00029425356128503783,inattentive
