Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 2 -stddev-prec 0 -col-name-width 0 -row-name-width 40 -mean-width 2 -stddev-width 2 -sig-width 1 -count-width 0 -show-avg -print-row-names -enum-col-names"
Analysing:  Matthews_correlation
Datasets:   27
Resultsets: 18
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       18/06/2021, 16:05


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],''
[10],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 6678\\\" -S 1 -W trees.J48 -- -C 0.2 -M 2\' -4523450618538717400'
[11],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 6678\\\" -S 1 -W trees.J48 -- -C 0.3 -M 2\' -4523450618538717400'
[12],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 6678\\\" -S 1 -W trees.J48 -- -C 0.4 -M 2\' -4523450618538717400'
[13],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 6678\\\" -S 1 -W trees.J48 -- -C 0.5 -M 2\' -4523450618538717400'
[14],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 9645\\\" -S 1 -W trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1746\' -4523450618538717400'
[15],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 9645\\\" -S 1 -W trees.RandomTree -- -K 4 -M 1.0 -V 0.001 -S 1746\' -4523450618538717400'
[16],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 9645\\\" -S 1 -W trees.RandomTree -- -K 8 -M 1.0 -V 0.001 -S 1746\' -4523450618538717400'
[17],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 9645\\\" -S 1 -W trees.RandomTree -- -K 16 -M 1.0 -V 0.001 -S 1746\' -4523450618538717400'
[18],'meta.FilteredClassifier \'-F \\\"supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 9645\\\" -S 1 -W trees.RandomTree -- -K 32 -M 1.0 -V 0.001 -S 1746\' -4523450618538717400'

